"","Sable_geo_df_binary.LONGITUDE","Sable_geo_df_binary.LATITUDE","data"
"623",0.358479999999986,52.22986,0
"624",-4.62303,52.23358,0
"625",5.17076,52.2356,0
"626",6.03871000000001,52.28575,0
"627",-6.20925,52.46667,0
"628",-6.81082000000001,52.46821,0
"629",-5.76481999999999,52.46863,0
"630",-7.20648,52.65545,0
"631",-7.32426000000001,52.66865,0
"632",-7.22542999999999,52.69827,0
"633",-9.08709999999999,53.03521,0
"634",-7.01714999999999,53.06475,0
"635",-7.16032000000001,53.06573,0
"636",-7.05304000000001,53.06806,0
"637",12.87828,53.76227,0
"638",-4.75611000000001,52.2374,0
"639",8.29651000000001,52.24361,0
"640",9.18288999999999,52.29014,0
"641",0.20850999999999,52.29086,0
"642",6.42212000000001,52.47918,0
"643",-5.58913000000001,52.48126,0
"644",-7.30596,52.70733,0
"645",9.47624999999999,52.72843,0
"646",10.92021,53.07075,0
"647",-7.21934999999999,53.07102,0
"648",9.85702000000001,53.07949,0
"649",12.69672,53.80986,0
"650",14.42644,54.47566,0
"651",6.90302,52.24904,0
"652",-3.95447999999999,52.29752,0
"653",-5.65342000000001,52.48222,0
"654",-7.04310000000001,52.48565,0
"655",9.35408000000001,52.74581,0
"656",9.38583,52.74823,0
"657",11.16514,53.08089,0
"658",13.3433,54.03866,0
"659",6.27229,52.25033,0
"660",6.16408000000001,52.30895,0
"661",-4.19042999999999,52.30936,0
"662",-5.82261,52.32658,0
"663",9.30793,52.49431,0
"664",6.42559,52.50112,0
"665",-5.9641,52.77362,0
"666",-7.40550999999999,52.80612,0
"667",-7.28931,53.08602,0
"668",11.12148,53.10229,0
"669",10.14422,53.10515,0
"670",13.64635,54.07195,0
"671",13.74873,54.09272,0
"672",-3.99599000000001,52.10172,0
"673",-3.76634000000001,52.12504,0
"674",-6.20842999999999,52.12829,0
"675",7.51718,52.12842,0
"676",-3.98782,52.25217,0
"677",-4.06782000000001,52.25336,0
"678",-6.80298999999999,52.33445,0
"679",6.06440000000001,52.33895,0
"680",6.49275,52.50182,0
"681",-5.57705000000001,52.50224,0
"682",-7.42558,52.80799,0
"683",-7.91307,52.8172,0
"684",-9.07674,53.10875,0
"685",-9.00984,53.10991,0
"686",13.7427,54.16059,0
"687",13.68836,54.16602,0
"688",-3.709,52.1285,0
